started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2022-12-01 05:35:14.260000+00:00,2022-12-01 05:39:54.767000+00:00,280,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745
2022-12-01 05:35:35.438000+00:00,2022-12-01 06:00:46.627000+00:00,1511,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509,394,Bjoelsen Studentby,ved rundkjoeringen,59.943777539367225,10.760121127577955
2022-12-01 05:37:00.329000+00:00,2022-12-01 05:43:44.149000+00:00,403,444,AHO,langs Maridalsveien,59.925265,10.750462,480,Helga Helgesens plass,langs Groenlandsleiret,59.9121109,10.7661939
2022-12-01 05:37:45.553000+00:00,2022-12-01 05:44:05.430000+00:00,379,608,Colletts gate,ved Diriks gate,59.93068679863987,10.746273349149249,537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756
2022-12-01 05:39:24.247000+00:00,2022-12-01 05:40:39.867000+00:00,75,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182
2022-12-01 05:40:52.803000+00:00,2022-12-01 05:50:46.082000+00:00,593,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455
2022-12-01 05:41:59.246000+00:00,2022-12-01 05:48:25.603000+00:00,386,550,Thereses gate,ved Bislett trikkestopp,59.9261462,10.7310355,558,Dokkveien,ved Stoeperigata,59.910974,10.7277001
2022-12-01 05:42:33.506000+00:00,2022-12-01 05:54:51.410000+00:00,737,503,Fagerheimgata,ved Daelenenga busstopp,59.92760586837719,10.76598469881135,452,Vippetangen vest,naermest Raadhuset,59.903989,10.740627
2022-12-01 05:42:58.520000+00:00,2022-12-01 05:53:05.538000+00:00,607,423,Schous plass,naermest rundkjoeringen,59.920335,10.760804,558,Dokkveien,ved Stoeperigata,59.910974,10.7277001
2022-12-01 05:43:46.121000+00:00,2022-12-01 05:56:59.316000+00:00,793,425,Adamstuen,ved trikkestoppen,59.932792,10.734457,429,Thune,ved bomringen,59.92208,10.68588
2022-12-01 05:43:49.054000+00:00,2022-12-01 05:58:23.125000+00:00,874,597,Fredensborg,ved rundkjoeringen,59.920995,10.750358,417,Uranienborgparken,langs Holtegata,59.922485,10.720896
2022-12-01 05:44:16.399000+00:00,2022-12-01 05:49:47.096000+00:00,330,514,Sofienberggata,ved Sars gate,59.9212063,10.7699892,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982289
2022-12-01 05:44:44.005000+00:00,2022-12-01 05:50:52.334000+00:00,368,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455
2022-12-01 05:44:58.842000+00:00,2022-12-01 05:48:43.035000+00:00,224,384,Vaar Frelsers gravlund,langs Ullevaalsveien,59.91944043984847,10.7437646218726,549,Linaaes gate,langs Moellergata,59.91382393242077,10.745704482209018
2022-12-01 05:45:28.336000+00:00,2022-12-01 05:51:12.236000+00:00,343,410,Landstads gate,langs Uelands gate,59.929005,10.7496755,739,Hammersborg Torg,langs Moellergata,59.91652053839767,10.749202233135232
2022-12-01 05:47:30.934000+00:00,2022-12-01 06:02:23.863000+00:00,892,548,Colbjoernsens gate,ved Skovveien,59.91731888534716,10.716909039918278,580,Georg Morgenstiernes hus,ved Moltke Moes vei,59.939025551395765,10.723002619643406
2022-12-01 05:47:54.640000+00:00,2022-12-01 05:58:03.812000+00:00,609,418,Norsk Folkemuseum,utenfor inngangen,59.907674,10.686843,559,Hoffsveien,ved Tingstuveien,59.923898,10.6760339
2022-12-01 05:48:46.634000+00:00,2022-12-01 05:53:03.042000+00:00,256,439,Moelleparken,ved Sannerbrua,59.9283928,10.7559693,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182
2022-12-01 05:50:05.287000+00:00,2022-12-01 05:59:06.795000+00:00,541,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006,509,Kjeld Stubs gate,ved hjoernet Tordenskiolds gate,59.912711,10.735595
2022-12-01 05:50:39.436000+00:00,2022-12-01 06:06:14.237000+00:00,934,540,Lilleborgbanen,langs Ole Bulls gate,59.93363159074286,10.769118139881124,449,Ruseloekkgaarden,langs Loekkeveien,59.91357497092093,10.726229742333288
2022-12-01 05:51:05.837000+00:00,2022-12-01 06:00:52.631000+00:00,586,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819611,611,Bankplassen,ved Kirkegata,59.908454,10.741869
2022-12-01 05:51:12.668000+00:00,2022-12-01 05:54:29.217000+00:00,196,387,Studenterlunden,langs Karl Johan,59.914586,10.735453,558,Dokkveien,ved Stoeperigata,59.910974,10.7277001
2022-12-01 05:53:09.269000+00:00,2022-12-01 06:05:12.820000+00:00,723,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,464,Sukkerbiten,ved gangbroen,59.90512438070349,10.753763553726516
2022-12-01 05:53:34.882000+00:00,2022-12-01 06:00:07.695000+00:00,392,385,Soendre gate,ved Ankerbrua,59.918632,10.757867,526,Lille Grensen,Ved Akersgata,59.9138973,10.7423101
2022-12-01 05:54:37.100000+00:00,2022-12-01 06:11:58.333000+00:00,1041,465,Bjoervika,under broen Nylandsveien,59.909006,10.75618,456,Frognerstranda,ved Kongen Marina,59.9103558,10.7051061
2022-12-01 05:55:00.335000+00:00,2022-12-01 06:00:06.226000+00:00,305,447,Kvaernerbyen,langs Smeltedigelen,59.904473,10.786167,552,Trelastgata,ved Nordenga bru,59.90800465532893,10.7625700380287
2022-12-01 05:55:06.709000+00:00,2022-12-01 05:59:28.339000+00:00,261,455,Sofienbergparken soer,langs Sofienberggata,59.922337,10.7617503,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2022-12-01 05:55:22.009000+00:00,2022-12-01 06:00:10.176000+00:00,288,600,Dyvekes bru,ved skatepark,59.905323,10.7689579,552,Trelastgata,ved Nordenga bru,59.90800465532893,10.7625700380287
2022-12-01 05:55:27.018000+00:00,2022-12-01 06:03:29.506000+00:00,482,468,Skillebekk,langs Drammensveien,59.912793405455375,10.710103028570302,572,Skoeyen,under broen,59.92226850808104,10.679579749668129
2022-12-01 05:55:27.657000+00:00,2022-12-01 06:01:02.767000+00:00,335,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455,616,Salt,ved Langkaia,59.90692216719828,10.746530272588243
2022-12-01 05:55:37.243000+00:00,2022-12-01 05:59:40.930000+00:00,243,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455,611,Bankplassen,ved Kirkegata,59.908454,10.741869
2022-12-01 05:56:45.599000+00:00,2022-12-01 06:06:22.512000+00:00,576,444,AHO,langs Maridalsveien,59.925265,10.750462,449,Ruseloekkgaarden,langs Loekkeveien,59.91357497092093,10.726229742333288
2022-12-01 05:58:02.523000+00:00,2022-12-01 06:06:04.211000+00:00,481,485,Sommerfrydhagen,langs Jens Bjelkes gate,59.911453,10.776072,465,Bjoervika,under broen Nylandsveien,59.909006,10.75618
2022-12-01 05:59:32.843000+00:00,2022-12-01 06:11:37.180000+00:00,724,403,Parkveien,ved trikkestoppet,59.921768,10.730476,445,Sjoelyst,Drammensveien ved rundkjoering,59.921673,10.67666
2022-12-01 05:59:44.550000+00:00,2022-12-01 06:01:53.832000+00:00,129,417,Uranienborgparken,langs Holtegata,59.922485,10.720896,535,Uranienborgveien,vest for Slottsparken,59.9200421,10.726634
2022-12-01 06:01:15.632000+00:00,2022-12-01 06:03:52.334000+00:00,156,739,Hammersborg Torg,langs Moellergata,59.91652053839767,10.749202233135232,2328,The Hub,Mellom Oslo City og The Hub hotel,59.91252237023375,10.750910185807754
2022-12-01 06:02:08.268000+00:00,2022-12-01 06:11:42.395000+00:00,574,382,Stensgata,ved trikkestoppet,59.92958561753996,10.732839000000013,607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468
2022-12-01 06:03:32.828000+00:00,2022-12-01 06:11:39.610000+00:00,486,970,Enerhaugen,ved Soerligata,59.91320242563816,10.767579386407874,574,Annette Thommessens Plass,langs Schweigaards gate,59.9107393,10.7609998
