started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-01-01 12:09:37.801000+00:00,2023-01-01 13:02:06.996000+00:00,3149,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,558,Dokkveien,ved Støperigata,59.910974,10.7277001
2023-01-01 12:11:36.008000+00:00,2023-01-01 12:22:17.134000+00:00,641,565,Mailundveien,sør for Torshovdalen,59.9309181,10.7728203,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2023-01-01 12:18:24.998000+00:00,2023-01-01 12:57:10.341000+00:00,2325,424,Birkelunden,langs Seilduksgata,59.9256113,10.760926,506,Botanisk Hage vest,ved Blytts gate,59.92012811804052,10.768875408563598
2023-01-01 12:20:49.283000+00:00,2023-01-01 12:23:32.879000+00:00,163,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455
2023-01-01 12:42:13.357000+00:00,2023-01-01 12:47:01.909000+00:00,288,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621
2023-01-01 12:43:39.179000+00:00,2023-01-01 12:50:12.520000+00:00,393,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455,611,Bankplassen,ved Kirkegata,59.908454,10.741869
2023-01-01 12:46:12.354000+00:00,2023-01-01 12:53:16.566000+00:00,424,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2023-01-01 12:54:41.170000+00:00,2023-01-01 12:58:32.903000+00:00,231,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006,491,Brugata,ved Chr Kroghs gate,59.91366109486603,10.75729364846211
2023-01-01 12:56:03.303000+00:00,2023-01-01 13:05:52.391000+00:00,589,599,Paléhaven,langs Strandgata,59.910331,10.75011,463,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857
2023-01-01 13:02:21.310000+00:00,2023-01-01 13:25:07.642000+00:00,1366,558,Dokkveien,ved Støperigata,59.910974,10.7277001,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728
2023-01-01 13:08:29.513000+00:00,2023-01-01 13:25:17.190000+00:00,1007,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728
2023-01-01 13:12:37.668000+00:00,2023-01-01 13:13:59.658000+00:00,81,2328,The Hub,Mellom Oslo City og The Hub hotel,59.912522370233745,10.750910185807754,2328,The Hub,Mellom Oslo City og The Hub hotel,59.912522370233745,10.750910185807754
2023-01-01 13:14:25.865000+00:00,2023-01-01 13:29:13.503000+00:00,887,2328,The Hub,Mellom Oslo City og The Hub hotel,59.912522370233745,10.750910185807754,457,Trondheimsveien,ved trikkestoppet,59.9230577,10.7717192
2023-01-01 13:30:31.621000+00:00,2023-01-01 13:38:51.008000+00:00,499,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2023-01-01 13:48:09.833000+00:00,2023-01-01 14:41:41.139000+00:00,3211,2340,Tiedemannsparken,langs Grenseveien ved fotgjengerbru,59.92024767905539,10.793540704010042,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
2023-01-01 13:56:21.742000+00:00,2023-01-01 14:20:48.269000+00:00,1466,565,Mailundveien,sør for Torshovdalen,59.9309181,10.7728203,560,Gaustad T-bane,langs Slemdalsveien,59.945955,10.710392
2023-01-01 13:56:55.362000+00:00,2023-01-01 14:04:46.484000+00:00,471,424,Birkelunden,langs Seilduksgata,59.9256113,10.760926,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641
2023-01-01 13:57:24.285000+00:00,2023-01-01 14:04:52.410000+00:00,448,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863,407,Sagene bussholdeplass,langs Kierschovs gate,59.937743,10.751648
2023-01-01 13:58:59.633000+00:00,2023-01-01 14:04:18.330000+00:00,318,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006,442,Vulkan,ved Maridalsveien,59.92251,10.75101
2023-01-01 14:01:41.375000+00:00,2023-01-01 14:50:06.424000+00:00,2905,380,Bentsebrugata,rett over busstoppet,59.93923,10.75917,420,Bjølsendumpa,langs Treschows gate,59.94032925181832,10.766136667493829
2023-01-01 14:07:58.408000+00:00,2023-01-01 14:14:35.293000+00:00,396,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515
2023-01-01 14:08:11.654000+00:00,2023-01-01 14:34:45.156000+00:00,1593,572,Skøyen,under broen,59.92226850808104,10.679579749668129,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863
2023-01-01 14:08:44.683000+00:00,2023-01-01 14:34:45.943000+00:00,1561,572,Skøyen,under broen,59.92226850808104,10.679579749668129,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863
2023-01-01 14:09:22.023000+00:00,2023-01-01 14:34:45.610000+00:00,1523,572,Skøyen,under broen,59.92226850808104,10.679579749668129,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863
2023-01-01 14:09:23.762000+00:00,2023-01-01 14:34:46.311000+00:00,1522,572,Skøyen,under broen,59.92226850808104,10.679579749668129,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863
2023-01-01 14:10:07.422000+00:00,2023-01-01 14:34:48.678000+00:00,1481,572,Skøyen,under broen,59.92226850808104,10.679579749668129,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863
2023-01-01 14:19:08.359000+00:00,2023-01-01 15:33:26.450000+00:00,4458,453,Frogner Stadion,ved hovedinngangen,59.92753764682686,10.710262803261259,524,Volvat,langs Sørkedalsveien,59.9330870371029,10.703967938028702
2023-01-01 14:24:58.181000+00:00,2023-01-01 14:29:45.957000+00:00,287,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2023-01-01 14:28:24.134000+00:00,2023-01-01 14:42:00.528000+00:00,816,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006,414,Kontraskjæret,ved Christiania Torv,59.910242,10.73857
2023-01-01 14:31:44.302000+00:00,2023-01-01 14:41:09.508000+00:00,565,457,Trondheimsveien,ved trikkestoppet,59.9230577,10.7717192,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117
2023-01-01 14:34:24.654000+00:00,2023-01-01 14:42:55.481000+00:00,510,488,Torshovparken vest,langs Per Kvibergs gate,59.93507,10.76915,472,Arendalsgata,over veien fra Sagen Kirke,59.9378,10.7541
2023-01-01 14:35:58.345000+00:00,2023-01-01 14:40:06.475000+00:00,248,407,Sagene bussholdeplass,langs Kierschovs gate,59.937743,10.751648,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613
2023-01-01 14:36:45.334000+00:00,2023-01-01 14:43:15.592000+00:00,390,522,Mandalls gate,ved Grønlandsleiret,59.9123469,10.7638147,597,Fredensborg,ved rundkjøringen,59.920995,10.750358
2023-01-01 14:38:58.610000+00:00,2023-01-01 14:40:30.461000+00:00,91,500,Anker Hotel,langs Storgata,59.9172794,10.7581553,500,Anker Hotel,langs Storgata,59.9172794,10.7581553
2023-01-01 14:39:42.194000+00:00,2023-01-01 14:54:50.276000+00:00,908,448,Oslo Plaza,ved rundkjøringen,59.91218291295141,10.7544337247013,748,Hydroparken,langs Drammensveien,59.914145,10.715505
2023-01-01 14:42:37.166000+00:00,2023-01-01 14:48:37.249000+00:00,360,469,Studentparlamentet,ved Frydenlund holdeplass,59.920852,10.733357,511,Henrik Ibsens gate,ved Parkveien,59.915088,10.7222803
2023-01-01 14:53:22.802000+00:00,2023-01-01 15:02:59.671000+00:00,576,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621
2023-01-01 14:54:02.294000+00:00,2023-01-01 15:02:06.971000+00:00,484,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515
2023-01-01 14:54:40.844000+00:00,2023-01-01 15:09:43.837000+00:00,902,746,Bygdøy allé,ved parkeringsplassen,59.919001,10.692321,462,Stensparken,ved Sporveisgata,59.92714,10.730981
2023-01-01 14:57:25.066000+00:00,2023-01-01 15:03:54.464000+00:00,389,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,431,Chr. Michelsens Gate,ved Fjellgata,59.927292,10.773185
2023-01-01 15:21:21.649000+00:00,2023-01-01 15:26:50.428000+00:00,328,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515
2023-01-01 15:26:03.254000+00:00,2023-01-01 15:48:37.156000+00:00,1353,2339,Elgsletta,langs Nylandsveien,59.91564920880896,10.761724502548105,451,Suhms gate,ved Oslo døvekirke,59.929419,10.726195
2023-01-01 15:36:08.100000+00:00,2023-01-01 15:45:37.829000+00:00,569,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372
2023-01-01 15:41:39.128000+00:00,2023-01-01 15:48:49.379000+00:00,430,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388
2023-01-01 15:43:14.130000+00:00,2023-01-01 15:57:53.860000+00:00,879,431,Chr. Michelsens Gate,ved Fjellgata,59.927292,10.773185,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455
2023-01-01 15:46:50.111000+00:00,2023-01-01 16:08:08.550000+00:00,1278,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863,603,Frogner plass,i rundkjøringen,59.9225392,10.7045406
2023-01-01 15:47:05.377000+00:00,2023-01-01 16:08:16.993000+00:00,1271,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863,603,Frogner plass,i rundkjøringen,59.9225392,10.7045406
2023-01-01 15:47:07.257000+00:00,2023-01-01 16:08:19.686000+00:00,1272,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863,603,Frogner plass,i rundkjøringen,59.9225392,10.7045406
